/******************** DETECTOR TYPE: SHITOMASI****************/
/-------------------- DESCRIPTOR TYPE: BRISK-----------------/
Frame | Num Kp | match kp | ttc lidar | ttc camera | ttc diff |
    1,     209,        93,    12.1403,    10.9082,   1.23213,
    2,     114,       106,    13.1844,    11.0081,   2.17621,
    3,     178,        93,    16.1581,   -11.4731,   27.6312,
    4,     250,       133,    13.7868,    11.5792,   2.20759,
    5,     241,       173,    12.4891,    34.7543,  -22.2652,
    6,     259,       159,    13.4805,    13.6217, -0.141213,
    7,     272,       180,    13.5199,     13.497, 0.0229208,
    8,     193,       160,    13.5313,    17.6204,  -4.08905,
    9,     129,       105,    11.8654,        nan,       nan,
   10,     248,        97,    11.7072,       -inf,       inf,
   11,     147,       131,    11.6056,    11.4377,   0.16796,
   12,     168,       108,    9.77463,    11.6948,  -1.92018,
   13,     181,       126,    9.31567,    13.4327,  -4.11706,
   14,     144,       119,    9.20908,    5.85828,    3.3508,
   15,     243,       111,    8.23521,   -13.6263,   21.8615,
   16,     213,       155,    8.63378,    6.71705,   1.91672,
   17,     126,       115,    10.9079,    12.5848,  -1.67691,
   18,     158,        95,    8.43837,       -inf,       inf,
/******************** DETECTOR TYPE: HARRIS****************/
/-------------------- DESCRIPTOR TYPE: FREAK-----------------/
Frame | Num Kp | match kp | ttc lidar | ttc camera | ttc diff |
    1,     209,        78,    12.1403,    9.74953,   2.39082,
    2,     114,        96,    13.1844,     10.586,   2.59836,
    3,     178,        79,    16.1581,    -10.295,   26.4531,
    4,     250,       103,    13.7868,    11.7693,   2.01747,
    5,     241,       138,    12.4891,    89.8332,  -77.3441,
    6,     259,       124,    13.4805,    13.5907, -0.110219,
    7,     272,       128,    13.5199,    13.6036,-0.0837262,
    8,     193,       131,    13.5313,    12.9162,   0.61512,
    9,     129,        88,    11.8654,        nan,       nan,
   10,     248,        74,    11.7072,    10.2931,   1.41405,
   11,     147,       102,    11.6056,    11.7414, -0.135786,
   12,     168,        88,    9.77463,    11.6948,  -1.92018,
   13,     181,       103,    9.31567,    13.4327,  -4.11706,
   14,     144,       102,    9.20908,     12.288,   -3.0789,
   15,     243,        87,    8.23521,   -25.2781,   33.5133,
   16,     213,       128,    8.63378,    6.64741,   1.98636,
   17,     126,        92,    10.9079,        nan,       nan,
   18,     158,        75,    8.43837,        nan,       nan,
/******************** DETECTOR TYPE: HARRIS****************/
/-------------------- DESCRIPTOR TYPE: SIFT-----------------/
Frame | Num Kp | match kp | ttc lidar | ttc camera | ttc diff |
    1,     209,        98,    12.1403,    10.9082,   1.23213,
    2,     114,       120,    13.1844,    63.8475,  -50.6631,
    3,     178,       104,    16.1581,   -80.8525,   97.0106,
    5,     241,       200,    12.4891,    13.6432,  -1.15411,
    7,     272,       202,    13.5199,     13.497, 0.0229208,
    8,     193,       192,    13.5313,    17.6204,  -4.08905,
    9,     129,       123,    11.8654,    3.93864,   7.92673,
   10,     248,       117,    11.7072,   -13.4405,   25.1477,
   11,     147,       148,    11.6056,    11.4377,   0.16796,
   12,     168,       120,    9.77463,    11.6948,  -1.92018,
   13,     181,       137,    9.31567,    13.4327,  -4.11706,
   14,     144,       138,    9.20908,    5.66097,   3.54811,
   15,     243,       127,    8.23521,       -inf,       inf,
   16,     213,       188,    8.63378,    7.29175,   1.34203,
   17,     126,       127,    10.9079,    12.5848,  -1.67691,
   18,     158,       112,    8.43837,       -inf,       inf,
